turn,bet
100,50
101,50
102,50
103,50
104,50
105,50
106,50
107,50
108,50
109,50
110,50
111,50
112,50
113,50
114,50
115,50
116,50
117,50
118,50
119,50
120,50
121,50
122,50
123,50
124,100
125,100
126,100
127,100
128,100
129,100
130,100
131,100
132,100
133,100
134,100
135,100
136,150
137,150
138,150
139,150
140,150
141,150
142,150
143,150
144,200
145,200
146,200
147,200
148,200
149,200
150,250
151,250
152,250
153,250
154,250
155,300
156,300
157,300
158,300
159,350
160,350
161,350
162,350
163,400
164,400
165,400
166,450
167,450
168,450
169,500
170,500
171,550
172,550
173,600
174,600
175,650
176,650
177,700
178,700
179,750
180,750
181,800
182,850
183,850
184,900
185,950
186,1000
187,1050
188,1050
189,1100
190,1150
191,1200
192,1250
193,1300
194,1350
195,1400
196,1500
197,1550
198,1600
199,1650
200,1750
201,1800
202,1900
203,1950
204,2050
205,2150
206,2250
207,2350
208,2400
209,2500
210,2600
211,2750
212,2850
213,2950
214,3100
215,3200
216,3350
217,3550
218,3650
219,3800
220,3950
