turn,bet
55,50
56,50
57,50
58,50
59,50
60,50
61,50
62,50
63,50
64,100
65,100
66,100
67,100
68,100
69,150
70,150
71,150
72,200
73,200
74,250
75,250
76,300
77,300
78,350
79,400
80,450
81,500
82,550
83,600
84,650
85,750
86,800
87,900
88,1000
89,1100
90,1250
91,1400
92,1550
93,1700
94,1900
95,2100
96,2350
97,2600
98,2900
99,3200
100,3550
101,3950
102,4400
103,4900
104,5450
105,6050
106,6700
107,7450
108,8300
109,9200
110,10250
111,11400
112,12650
113,14050
114,15600
115,17350
116,19250
117,21400
118,23800
119,26450
120,29400
121,32650
122,36300
123,40300
124,44800
125,49800
126,55300
127,61500
128,68300
129,75900
130,84350
131,93400
