turn,bet
200,50
201,50
202,50
203,50
204,50
205,50
206,50
207,50
208,50
209,50
210,50
211,50
212,50
213,50
214,50
215,50
216,50
217,50
218,50
219,50
220,50
221,50
222,50
223,50
224,50
225,50
226,50
227,50
228,50
229,50
230,50
231,50
232,50
233,50
234,50
235,100
236,100
237,100
238,100
239,100
240,100
241,100
242,100
243,100
244,100
245,100
246,100
247,100
248,100
249,100
250,100
251,100
252,100
253,100
254,100
255,100
256,100
257,150
258,150
259,150
260,150
261,150
262,150
263,150
264,150
265,150
266,150
267,150
268,150
269,150
270,150
271,150
272,200
273,200
274,200
275,200
276,200
277,200
278,200
279,200
280,200
281,200
282,200
283,250
284,250
285,250
286,250
287,250
288,250
289,250
290,250
291,250
292,300
293,300
294,300
295,300
296,300
297,300
298,300
299,350
300,350
301,350
302,350
303,350
304,350
305,350
306,400
307,400
308,400
309,400
310,400
311,450
312,450
313,450
314,450
315,450
316,500
317,500
318,500
319,500
320,500
321,550
322,550
323,550
324,550
325,600
326,600
327,600
328,650
329,650
330,650
331,650
332,700
333,700
334,700
335,750
336,750
337,750
338,800
339,800
340,800
341,850
342,850
343,900
344,900
345,900
346,950
347,950
348,1000
349,1000
350,1050
351,1050
352,1050
353,1100
354,1100
355,1150
356,1150
357,1200
358,1250
359,1250
360,1300
361,1300
362,1350
363,1350
364,1400
365,1450
366,1500
367,1500
368,1550
369,1550
370,1600
371,1650
372,1700
373,1700
374,1750
375,1800
376,1850
377,1900
378,1950
379,1950
380,2000
381,2050
382,2100
383,2150
384,2200
385,2250
386,2300
387,2350
388,2400
389,2450
390,2500
391,2600
392,2650
393,2700
394,2750
395,2800
396,2900
397,2950
398,3000
399,3100
400,3150
401,3250
402,3300
403,3400
404,3450
405,3550
406,3600
