turn,bet
63,50
64,50
65,50
66,50
67,50
68,50
69,50
70,50
71,50
72,50
73,50
74,50
75,50
76,50
77,100
78,100
79,100
80,100
81,100
82,100
83,100
84,150
85,150
86,150
87,150
88,150
89,200
90,200
91,200
92,200
93,250
94,250
95,250
96,300
97,300
98,350
99,350
100,400
101,400
102,450
103,450
104,500
105,550
106,600
107,600
108,650
109,700
110,750
111,800
112,850
113,950
114,1000
115,1050
116,1150
117,1250
118,1300
119,1400
120,1500
121,1600
122,1750
123,1850
124,2000
125,2150
126,2300
127,2450
128,2650
129,2800
130,3000
131,3250
132,3450
133,3700
134,3950
135,4250
136,4550
137,4900
138,5250
139,5600
140,6000
141,6450
142,6900
143,7400
144,7900
145,8500
146,9100
147,9750
148,10450
149,11200
150,12000
151,12850
152,13750
153,14750
154,15800
155,16900
156,18150
157,19450
158,20800
159,22300
160,23900
