turn,bet
105,50
106,50
107,50
108,50
109,50
110,50
111,50
112,50
113,50
114,50
115,50
116,50
117,50
118,50
119,50
120,50
121,50
122,50
123,50
124,50
125,50
126,50
127,50
128,50
129,50
130,50
131,50
132,50
133,50
134,50
135,50
136,50
137,50
138,50
139,50
140,50
141,50
142,50
143,50
144,50
145,50
146,50
147,50
148,50
149,100
150,100
151,100
152,100
153,100
154,100
155,100
156,100
157,100
158,100
159,100
160,100
161,100
162,100
163,100
164,100
165,100
166,100
167,100
168,100
169,100
170,100
171,150
172,150
173,150
174,150
175,150
176,150
177,150
178,150
179,150
180,150
181,150
182,150
183,150
184,150
185,150
186,200
187,200
188,200
189,200
190,200
191,200
192,200
193,200
194,200
195,200
196,200
197,250
198,250
199,250
200,250
201,250
202,250
203,250
204,250
205,250
206,300
207,300
208,300
209,300
210,300
211,300
212,300
213,350
214,350
215,350
216,350
217,350
218,350
219,350
220,400
221,400
222,400
223,400
224,400
225,450
226,450
227,450
228,450
229,450
230,500
231,500
232,500
233,500
234,500
235,550
236,550
237,550
238,550
239,600
240,600
241,600
242,650
243,650
244,650
245,650
246,700
247,700
248,700
249,750
250,750
251,750
252,800
253,800
254,800
255,850
256,850
257,900
258,900
259,900
260,950
261,950
262,1000
263,1000
264,1050
265,1050
266,1050
267,1100
268,1100
269,1150
270,1150
271,1200
272,1250
273,1250
274,1300
275,1300
276,1350
277,1350
278,1400
279,1450
280,1450
281,1500
282,1550
283,1550
284,1600
285,1650
286,1700
287,1700
288,1750
289,1800
290,1850
291,1900
292,1950
293,1950
294,2000
295,2050
296,2100
297,2150
298,2200
299,2250
300,2300
301,2350
302,2400
303,2450
304,2500
305,3950
306,4050
307,4150
308,4250
309,4300
310,4400
311,4500
312,4600
313,4750
314,4850
315,4950
316,5050
317,5150
318,5300
319,5400
320,5550
321,5650
322,5800
323,5900
324,6050
325,6200
326,6350
327,6500
328,6600
329,6750
