turn,bet
55,50
56,50
57,50
58,50
59,50
60,50
61,50
62,50
63,50
64,50
65,50
66,50
67,50
68,50
69,50
70,50
71,50
72,50
73,50
74,50
75,50
76,50
77,50
78,50
79,100
80,100
81,100
82,100
83,100
84,100
85,100
86,100
87,100
88,100
89,100
90,100
91,150
92,150
93,150
94,150
95,150
96,150
97,150
98,150
99,200
100,200
101,200
102,200
103,200
104,200
105,250
106,250
107,250
108,250
109,250
110,300
111,300
112,300
113,300
114,350
115,350
116,350
117,350
118,400
119,400
120,400
121,450
122,450
123,450
124,500
125,500
126,550
127,550
128,600
129,600
130,650
131,650
132,700
133,700
134,750
135,750
136,800
137,850
138,850
139,900
140,950
141,1000
142,1050
143,1050
144,1100
145,1150
146,1200
147,1250
148,1300
149,1350
150,1400
151,1500
152,1550
153,1600
154,1650
155,1750
156,1800
157,1900
158,1950
159,2050
160,2150
161,2250
162,2300
163,2400
164,2500
165,2600
166,2750
167,2850
168,2950
169,3100
