turn,bet
55,50
56,50
57,50
58,50
59,50
60,100
61,100
62,100
63,100
64,100
65,100
66,100
67,100
68,100
69,100
70,100
71,100
72,150
73,150
74,150
75,150
76,150
77,150
78,150
79,150
80,200
81,200
82,200
83,200
84,200
85,200
86,250
87,250
88,250
89,250
90,250
91,300
92,300
93,300
94,300
95,350
96,350
97,350
98,350
99,400
100,400
101,400
102,450
103,450
104,450
105,500
106,500
107,550
108,550
109,600
110,600
111,650
112,650
113,700
114,700
115,750
116,750
117,800
118,850
119,850
120,900
121,950
122,1000
123,1050
124,1050
125,1100
126,1150
127,1200
128,1250
129,1300
130,1350
131,1400
132,1500
133,1550
134,1600
135,1650
136,1750
137,1800
138,1900
139,1950
140,2050
141,2150
142,2250
143,2300
144,2400
145,2500
146,2600
147,2750
148,2850
149,2950
150,3100
151,3200
152,3350
153,3500
154,3650
155,3800
156,3950
157,4100
158,4300
159,4450
160,4650
161,4850
162,5050
163,5250
164,5450
165,5700
166,5950
167,6200
168,6450
169,6700
170,7000
171,7300
172,7600
173,7900
174,8250
175,8550
