turn,bet
30,50
31,50
32,50
33,100
34,100
35,100
36,150
37,200
38,250
39,300
40,350
41,450
42,550
43,700
44,900
45,1100
46,1400
47,1750
48,2150
49,2700
50,3400
51,4250
52,5300
53,6600
54,8250
55,10350
56,12900
57,16150
58,20200
59,25250
60,31550
61,39450
62,49300
63,61650
