turn,bet
25,50
26,50
27,50
28,100
29,100
30,100
31,150
32,200
33,250
34,300
35,350
36,450
37,550
38,700
39,900
40,1100
41,1400
42,1750
43,2150
44,2700
45,3400
46,4250
47,5300
48,6600
49,8250
50,10350
51,12900
52,16150
53,20200
54,25250
55,31550
56,39450
57,49300
58,61650
