turn,box5,box6,box7,box8
50,50,50,50,50
51,50,50,50,50
52,100,50,50,50
53,100,100,50,50
54,150,100,100,50
55,200,150,100,50
56,300,200,150,100
57,350,250,150,100
58,500,350,200,150
59,650,450,250,150
60,850,550,350,200
61,1100,750,450,250
62,1400,950,600,350
63,1850,1250,750,450
64,2400,1600,1000,550
65,3100,2100,1250,700
66,4050,2700,1650,900
67,5250,3500,2100,1200
68,6800,4550,2750,1550
69,8850,5900,3550,2000
70,11500,7650,4600,2550
71,14900,9950,5950,3350
